@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.928492,1,0.6,-0.718142
0,-0.912869,1,0.8,0
0,-0.89302,1,1,-0.16956
0,-0.846024,-1,-1,0
0,-0.836742,-1,-0.8,0
0,-0.848907,-1,-0.6,0
0,-0.849948,-1,-0.4,-0.472211
0,-0.875474,-1,-0.2,-0.770428
0,-0.893917,-1,0,-0.891211
0,-0.905253,-1,0.2,-0.98871
0,-0.918952,-1,0.4,-0.997866
0,-0.926839,-1,0.6,-1.024289
0,-0.939596,-1,0.8,-1.077164
0,-0.946771,-1,1,-1.46972
0,-0.968371,-0.8,-1,0
0,-0.830907,-0.8,-0.8,0
0,-0.850143,-0.8,-0.6,-0.457993
0,-0.865032,-0.8,-0.4,-0.492818
0,-0.875002,-0.8,-0.2,-0.761252
